task_id,type,plate_id,crane_id,start_seconds,finish_seconds
OUT_L1_P003596_167,outbound,P003596,C1,20526.0,20592.0
R_L1_P000948_P001495_146,relocate,P001495,C1,20592.0,20658.0
R_L1_P000948_P007007_147,relocate,P007007,C1,20658.0,20724.0
OUT_L1_P000948_168,outbound,P000948,C1,20724.0,20790.0
R_L1_P006626_P007485_148,relocate,P007485,C1,20790.0,20856.0
R_L1_P006626_P002068_149,relocate,P002068,C1,20856.0,20922.0
OUT_L1_P006626_169,outbound,P006626,C1,20922.0,20988.0
R_L1_P007792_P001569_150,relocate,P001569,C1,20988.0,21054.0
R_L1_P007792_P009885_151,relocate,P009885,C1,21054.0,21120.0
OUT_L1_P007792_170,outbound,P007792,C1,21120.0,21186.0
R_L1_P001076_P005457_152,relocate,P005457,C1,21186.0,21252.0
R_L1_P001076_P002041_153,relocate,P002041,C1,21252.0,21318.0
OUT_L1_P001076_171,outbound,P001076,C1,21318.0,21384.0
R_L1_P003973_P001348_154,relocate,P001348,C1,21384.0,21450.0
R_L1_P003973_P001076_155,relocate,P001076,C1,21450.0,21516.0
OUT_L1_P003973_172,outbound,P003973,C1,21516.0,21582.0
R_L1_P002714_P003973_156,relocate,P003973,C1,21582.0,21648.0
OUT_L1_P002714_173,outbound,P002714,C1,21648.0,21714.0
R_L1_P003450_P001721_157,relocate,P001721,C1,21714.0,21780.0
R_L1_P003450_P003905_158,relocate,P003905,C1,21780.0,21846.0
OUT_L1_P003450_174,outbound,P003450,C1,21846.0,21912.0
R_L1_P004835_P009124_159,relocate,P009124,C1,21912.0,21978.0
R_L1_P004835_P006349_160,relocate,P006349,C1,21978.0,22044.0
OUT_L1_P004835_175,outbound,P004835,C1,22044.0,22110.0
R_L1_P009244_P004835_161,relocate,P004835,C1,22110.0,22176.0
OUT_L1_P009244_176,outbound,P009244,C1,22176.0,22242.0
R_L1_P000814_P000756_162,relocate,P000756,C1,22242.0,22308.0
R_L1_P000814_P001319_163,relocate,P001319,C1,22308.0,22374.0
OUT_L1_P000814_177,outbound,P000814,C1,22374.0,22440.0
R_L1_P009649_P004387_164,relocate,P004387,C1,22440.0,22506.0
R_L1_P009649_P001174_165,relocate,P001174,C1,22506.0,22572.0
OUT_L1_P009649_178,outbound,P009649,C1,22572.0,22638.0
R_L1_P001221_P006611_166,relocate,P006611,C1,22638.0,22704.0
R_L1_P001221_P007245_167,relocate,P007245,C1,22704.0,22770.0
OUT_L1_P001221_179,outbound,P001221,C1,22770.0,22836.0
R_L1_P001240_P004396_168,relocate,P004396,C1,22836.0,22902.0
R_L1_P001240_P002686_169,relocate,P002686,C1,22902.0,22968.0
OUT_L1_P001240_180,outbound,P001240,C1,22968.0,23034.0
R_L1_P006306_P006362_170,relocate,P006362,C1,23034.0,23100.0
R_L1_P006306_P005030_171,relocate,P005030,C1,23100.0,23166.0
OUT_L1_P006306_181,outbound,P006306,C1,23166.0,23232.0
R_L1_P006302_P000667_172,relocate,P000667,C1,23232.0,23298.0
R_L1_P006302_P002503_173,relocate,P002503,C1,23298.0,23364.0
OUT_L1_P006302_182,outbound,P006302,C1,23364.0,23430.0
R_L1_P009562_P005267_174,relocate,P005267,C1,23430.0,23496.0
R_L1_P009562_P001646_175,relocate,P001646,C1,23496.0,23562.0
OUT_L1_P009562_183,outbound,P009562,C1,23562.0,23628.0
R_L1_P005046_P004102_176,relocate,P004102,C1,23628.0,23694.0
R_L1_P005046_P005312_177,relocate,P005312,C1,23694.0,23760.0
OUT_L1_P005046_184,outbound,P005046,C1,23760.0,23826.0
R_L1_P008054_P006303_178,relocate,P006303,C1,23826.0,23892.0
R_L1_P008054_P007150_179,relocate,P007150,C1,23892.0,23958.0
OUT_L1_P008054_185,outbound,P008054,C1,23958.0,24024.0
R_L1_P008452_P007692_180,relocate,P007692,C1,24024.0,24090.0
R_L1_P008452_P008710_181,relocate,P008710,C1,24090.0,24156.0
OUT_L1_P008452_186,outbound,P008452,C1,24156.0,24222.0
R_L1_P000575_P008452_182,relocate,P008452,C1,24222.0,24288.0
OUT_L1_P000575_187,outbound,P000575,C1,24288.0,24354.0
R_L1_P008280_P002645_183,relocate,P002645,C1,24354.0,24420.0
R_L1_P008280_P000009_184,relocate,P000009,C1,24420.0,24486.0
OUT_L1_P008280_188,outbound,P008280,C1,24486.0,24552.0
R_L1_P007167_P002352_185,relocate,P002352,C1,24552.0,24618.0
R_L1_P007167_P000140_186,relocate,P000140,C1,24618.0,24684.0
OUT_L1_P007167_189,outbound,P007167,C1,24684.0,24750.0
R_L1_P004945_P004132_187,relocate,P004132,C1,24750.0,24816.0
R_L1_P004945_P000304_188,relocate,P000304,C1,24816.0,24882.0
OUT_L1_P004945_190,outbound,P004945,C1,24882.0,24948.0
R_L1_P004607_P009947_189,relocate,P009947,C1,24948.0,25014.0
R_L1_P004607_P005947_190,relocate,P005947,C1,25014.0,25080.0
OUT_L1_P004607_191,outbound,P004607,C1,25080.0,25146.0
R_L1_P000167_P004981_191,relocate,P004981,C1,25146.0,25212.0
R_L1_P000167_P006666_192,relocate,P006666,C1,25212.0,25278.0
OUT_L1_P000167_192,outbound,P000167,C1,25278.0,25344.0
R_L1_P004206_P000702_193,relocate,P000702,C1,25344.0,25410.0
R_L1_P004206_P000167_194,relocate,P000167,C1,25410.0,25476.0
OUT_L1_P004206_193,outbound,P004206,C1,25476.0,25542.0
R_L1_P003240_P004206_195,relocate,P004206,C1,25542.0,25608.0
OUT_L1_P003240_194,outbound,P003240,C1,25608.0,25674.0
R_L1_P007451_P005319_196,relocate,P005319,C1,25674.0,25740.0
R_L1_P007451_P006678_197,relocate,P006678,C1,25740.0,25806.0
OUT_L1_P007451_195,outbound,P007451,C1,25806.0,25872.0
R_L1_P000624_P005923_198,relocate,P005923,C1,25872.0,25938.0
R_L1_P000624_P009035_199,relocate,P009035,C1,25938.0,26004.0
R_L1_P000624_P002714_200,relocate,P002714,C1,26004.0,26070.0
