task_id,type,plate_id,crane_id,start_seconds,finish_seconds
OUT_L1_P003953_414,outbound,P003953,C1,196614.0,196680.0
R_L1_P003457_P003458_2567,relocate,P003458,C1,196680.0,196746.0
OUT_L1_P003457_415,outbound,P003457,C1,196746.0,196812.0
OUT_L1_P001070_416,outbound,P001070,C1,196812.0,196878.0
R_L1_P003781_P003782_2568,relocate,P003782,C1,196878.0,196944.0
R_L1_P003781_P003783_2569,relocate,P003783,C1,196944.0,197010.0
R_L1_P003781_P003784_2570,relocate,P003784,C1,197010.0,197076.0
R_L1_P003781_P003785_2571,relocate,P003785,C1,197076.0,197142.0
R_L1_P003781_P003786_2572,relocate,P003786,C1,197142.0,197208.0
R_L1_P003781_P003787_2573,relocate,P003787,C1,197208.0,197274.0
R_L1_P003781_P003788_2574,relocate,P003788,C1,197274.0,197340.0
R_L1_P003781_P003789_2575,relocate,P003789,C1,197340.0,197406.0
R_L1_P003781_P003790_2576,relocate,P003790,C1,197406.0,197472.0
R_L1_P003781_P003791_2577,relocate,P003791,C1,197472.0,197538.0
OUT_L1_P003781_417,outbound,P003781,C1,197538.0,197604.0
R_L1_P005222_P005223_2578,relocate,P005223,C1,197604.0,197670.0
R_L1_P005222_P005224_2579,relocate,P005224,C1,197670.0,197736.0
R_L1_P005222_P005225_2580,relocate,P005225,C1,197736.0,197802.0
R_L1_P005222_P005226_2581,relocate,P005226,C1,197802.0,197868.0
R_L1_P005222_P005227_2582,relocate,P005227,C1,197868.0,197934.0
R_L1_P005222_P005228_2583,relocate,P005228,C1,197934.0,198000.0
R_L1_P005222_P005229_2584,relocate,P005229,C1,198000.0,198066.0
R_L1_P005222_P005230_2585,relocate,P005230,C1,198066.0,198132.0
R_L1_P005222_P005231_2586,relocate,P005231,C1,198132.0,198198.0
R_L1_P005222_P005232_2587,relocate,P005232,C1,198198.0,198264.0
OUT_L1_P005222_418,outbound,P005222,C1,198264.0,198330.0
OUT_L1_P003680_419,outbound,P003680,C1,198330.0,198396.0
R_L1_P000214_P000215_2588,relocate,P000215,C1,198396.0,198462.0
R_L1_P000214_P000216_2589,relocate,P000216,C1,198462.0,198528.0
R_L1_P000214_P000217_2590,relocate,P000217,C1,198528.0,198594.0
R_L1_P000214_P000218_2591,relocate,P000218,C1,198594.0,198660.0
R_L1_P000214_P000219_2592,relocate,P000219,C1,198660.0,198726.0
R_L1_P000214_P000220_2593,relocate,P000220,C1,198726.0,198792.0
R_L1_P000214_P000221_2594,relocate,P000221,C1,198792.0,198858.0
R_L1_P000214_P000222_2595,relocate,P000222,C1,198858.0,198924.0
OUT_L1_P000214_420,outbound,P000214,C1,198924.0,198990.0
R_L1_P001729_P001730_2596,relocate,P001730,C1,198990.0,199056.0
OUT_L1_P001729_421,outbound,P001729,C1,199056.0,199122.0
R_L1_P005233_P005234_2597,relocate,P005234,C1,199122.0,199188.0
R_L1_P005233_P005235_2598,relocate,P005235,C1,199188.0,199254.0
R_L1_P005233_P005236_2599,relocate,P005236,C1,199254.0,199320.0
R_L1_P005233_P005237_2600,relocate,P005237,C1,199320.0,199386.0
R_L1_P005233_P005238_2601,relocate,P005238,C1,199386.0,199452.0
R_L1_P005233_P005239_2602,relocate,P005239,C1,199452.0,199518.0
R_L1_P005233_P005240_2603,relocate,P005240,C1,199518.0,199584.0
R_L1_P005233_P005241_2604,relocate,P005241,C1,199584.0,199650.0
R_L1_P005233_P005242_2605,relocate,P005242,C1,199650.0,199716.0
R_L1_P005233_P005243_2606,relocate,P005243,C1,199716.0,199782.0
R_L1_P005233_P005244_2607,relocate,P005244,C1,199782.0,199848.0
R_L1_P005233_P005245_2608,relocate,P005245,C1,199848.0,199914.0
R_L1_P005233_P005246_2609,relocate,P005246,C1,199914.0,199980.0
R_L1_P005233_P005247_2610,relocate,P005247,C1,199980.0,200046.0
R_L1_P005233_P005248_2611,relocate,P005248,C1,200046.0,200112.0
OUT_L1_P005233_422,outbound,P005233,C1,200112.0,200178.0
OUT_L1_P001132_423,outbound,P001132,C1,200178.0,200244.0
R_L1_P006664_P006665_2612,relocate,P006665,C1,200244.0,200310.0
R_L1_P006664_P006666_2613,relocate,P006666,C1,200310.0,200376.0
R_L1_P006664_P006667_2614,relocate,P006667,C1,200376.0,200442.0
R_L1_P006664_P006668_2615,relocate,P006668,C1,200442.0,200508.0
R_L1_P006664_P006669_2616,relocate,P006669,C1,200508.0,200574.0
R_L1_P006664_P006670_2617,relocate,P006670,C1,200574.0,200640.0
R_L1_P006664_P006671_2618,relocate,P006671,C1,200640.0,200706.0
R_L1_P006664_P006672_2619,relocate,P006672,C1,200706.0,200772.0
OUT_L1_P006664_424,outbound,P006664,C1,200772.0,200838.0
R_L1_P006366_P006367_2620,relocate,P006367,C1,200838.0,200904.0
R_L1_P006366_P006368_2621,relocate,P006368,C1,200904.0,200970.0
OUT_L1_P006366_425,outbound,P006366,C1,200970.0,201036.0
R_L1_P005925_P005926_2622,relocate,P005926,C1,201036.0,201102.0
R_L1_P005925_P005927_2623,relocate,P005927,C1,201102.0,201168.0
R_L1_P005925_P005928_2624,relocate,P005928,C1,201168.0,201234.0
OUT_L1_P005925_426,outbound,P005925,C1,201234.0,201300.0
OUT_L1_P001324_427,outbound,P001324,C1,201300.0,201366.0
OUT_L1_P006815_428,outbound,P006815,C1,201366.0,201432.0
R_L1_P004825_P004826_2625,relocate,P004826,C1,201432.0,201498.0
R_L1_P004825_P004827_2626,relocate,P004827,C1,201498.0,201564.0
R_L1_P004825_P004828_2627,relocate,P004828,C1,201564.0,201630.0
R_L1_P004825_P004829_2628,relocate,P004829,C1,201630.0,201696.0
R_L1_P004825_P004830_2629,relocate,P004830,C1,201696.0,201762.0
R_L1_P004825_P004831_2630,relocate,P004831,C1,201762.0,201828.0
R_L1_P004825_P004832_2631,relocate,P004832,C1,201828.0,201894.0
OUT_L1_P004825_429,outbound,P004825,C1,201894.0,201960.0
R_L1_P005379_P005380_2632,relocate,P005380,C1,201960.0,202026.0
R_L1_P005379_P005381_2633,relocate,P005381,C1,202026.0,202092.0
R_L1_P005379_P005382_2634,relocate,P005382,C1,202092.0,202158.0
R_L1_P005379_P005383_2635,relocate,P005383,C1,202158.0,202224.0
R_L1_P005379_P005384_2636,relocate,P005384,C1,202224.0,202290.0
R_L1_P005379_P005385_2637,relocate,P005385,C1,202290.0,202356.0
R_L1_P005379_P005386_2638,relocate,P005386,C1,202356.0,202422.0
R_L1_P005379_P005387_2639,relocate,P005387,C1,202422.0,202488.0
R_L1_P005379_P005388_2640,relocate,P005388,C1,202488.0,202554.0
R_L1_P005379_P005389_2641,relocate,P005389,C1,202554.0,202620.0
R_L1_P005379_P005390_2642,relocate,P005390,C1,202620.0,202686.0
R_L1_P005379_P005391_2643,relocate,P005391,C1,202686.0,202752.0
R_L1_P005379_P005392_2644,relocate,P005392,C1,202752.0,202818.0
OUT_L1_P005379_430,outbound,P005379,C1,202818.0,202884.0
